borrower_id,income,net_worth,liquidity,credit_limit,loan_amount,collateral_value,margin_percentage,margin_value,ltv_ratio,asset_volatility,market_drop_sensitivity,interest_rate,payment_history_score,legal_risk_flag
1,161958,728843,45774,127059,65680,91295,0.76,69384.2,0.9466132058883723,0.26,0.21,0.041,97,0
2,186867,960790,7568,205340,187789,239686,0.64,153399.04,1.224186279131864,0.18,0.23,0.035,74,0
3,171932,622843,125151,130687,228164,382833,0.4,153133.2,1.4899708227869592,0.38,0.29,0.075,71,0
4,143694,306508,198664,231428,60859,293255,0.44,129032.2,0.47165746224585803,0.57,0.18,0.032,62,0
5,159879,853591,138767,125878,135657,319648,0.67,214164.16,0.6334253126200013,0.45,0.13,0.071,68,0
6,150268,946942,129375,222982,245167,152874,0.4,61149.600000000006,4.009298507267422,0.39,0.25,0.096,98,0
7,94886,156530,184262,218286,167381,28155,0.46,12951.300000000001,12.923876367623325,0.15,0.12,0.07,85,0
8,177337,654365,141330,269002,228527,486872,0.62,301860.64,0.7570612717179689,0.41,0.16,0.057,61,0
9,127498,872352,44504,270396,204806,321528,0.68,218639.04,0.9367311528627275,0.6,0.07,0.075,90,0
10,152727,510337,169231,184899,80467,394705,0.66,260505.30000000002,0.3088881493006092,0.17,0.06,0.062,68,0
11,166324,774839,18986,63585,193734,67254,0.49,32954.46,5.878840072026669,0.36,0.29,0.068,61,1
12,56023,855889,66858,84044,108506,304062,0.68,206762.16,0.5247865470161465,0.54,0.26,0.096,58,0
13,81090,509773,134312,129556,119751,105981,0.49,51930.69,2.3059774480177326,0.47,0.22,0.057,56,0
14,107221,258261,17666,22693,128906,473929,0.53,251182.37000000002,0.5131968457818118,0.45,0.15,0.097,77,0
15,104820,814469,43660,263307,153760,50306,0.7,35214.2,4.366420364512043,0.45,0.09,0.093,63,0
16,40769,391097,139633,220235,35342,167718,0.66,110693.88,0.31927691034048133,0.28,0.09,0.044,80,0
17,99735,365139,31854,45939,178229,328987,0.74,243450.38,0.7320957970983656,0.25,0.11,0.035,68,0
18,104925,221829,69505,172906,208935,140975,0.66,93043.5,2.245562559448,0.5,0.19,0.037,96,0
19,45311,321836,109488,38047,116308,378745,0.63,238609.35,0.48744108309251083,0.51,0.23,0.031,65,0
20,143355,488974,188323,95766,193155,127512,0.44,56105.28,3.442724107249799,0.53,0.22,0.037,54,0
21,125305,252283,27662,64262,116081,167443,0.55,92093.65000000001,1.2604669268728081,0.56,0.12,0.078,84,0
22,199765,246769,13392,181152,206805,490587,0.51,250199.37,0.8265608342658897,0.36,0.29,0.035,61,0
23,170608,611353,35535,148376,99045,393616,0.5,196808.0,0.5032569814235194,0.35,0.23,0.052,74,0
24,196730,273165,118569,157848,44698,153121,0.79,120965.59000000001,0.3695100400039383,0.5,0.19,0.089,70,0
25,124478,673587,57256,112787,120078,182688,0.56,102305.28000000001,1.1737224119810823,0.42,0.2,0.032,85,0
26,162537,585822,94135,147948,90623,385871,0.76,293261.96,0.3090172349663079,0.45,0.15,0.087,72,0
27,189503,537879,132478,75016,32671,395037,0.65,256774.05000000002,0.12723637766355284,0.5,0.11,0.05,65,0
28,170523,614685,40222,41959,166256,303076,0.72,218214.72,0.7618917733872399,0.55,0.14,0.038,88,0
29,42747,832038,82373,156602,103384,137796,0.6,82677.59999999999,1.2504475214568398,0.27,0.24,0.079,94,0
30,163855,403531,128684,245928,183179,311999,0.63,196559.37,0.931927081369868,0.29,0.05,0.074,91,0
